RATING;TITLE;SYSTEM;GENRE;YEAR;DEVELOPER;PUBLISHER;FRANCHISE;ENTRY NUMBER;REGION;TEXT;VOICE;FORM;MULTIPLAYER;INFO
;"Shin Megami Tensei: Persona 2 - Innocent Sin";"Sony PSP";"RPG";"2011";"Atlus";"Atlus USA";"Megami Tensei: Persona";"2 (Remake)";"US";"English";"English";;;"Undub available"
;"Shin Megami Tensei: Persona 3";"Sony PS2";"RPG";"2007";"Atlus";"Atlus USA";"Megami Tensei: Persona";"3 (Rerelease)";"US";"English";"English";;;"Undub available"
;"Shin Megami Tensei: Persona 3 Portable";"Sony PSP";"RPG";"2010";"Atlus";"Atlus USA";"Megami Tensei: Persona";"3 (Rerelease)";"US";"English";"English";;;"Undub available"
;"Shin Megami Tensei: Persona 4";"Sony PS2";"RPG";"2008";"Atlus";"Atlus USA";"Megami Tensei: Persona";"4";"US";"English";"English";;;"Undub available"
;"Shin Megami Tensei: Persona 4 Golden";"Sony PS Vita";"RPG";"2012";"Atlus";"Atlus USA";"Megami Tensei: Persona";"4 (Rerelease)";"US";"English";"English";;;"Undub available"
;"Steins Gate";"Sony PS Vita";"Visual Novel";"2013";"5pb.
Nitroplus";"PQube";"Science Adventure";"2";"Europe";"English";"Japanese";;"-";
;"Steins Gate";"Sony PSP";"Visual Novel";"2011";"5pb.
Nitroplus";"Kadokawa Shoten";"Science Adventure";"2";"Japan";"Japanese";"Japanese";;"-";"Translation available"
;"Steins Gate 0";"Sony PS Vita";"Visual Novel";"2016";"5pb.";"PQube";"Science Adventure";"2 Spinoff 2";"Europe";"English";"Japanese";;"-";
;"Steins Gate: Linear Bounded Phenogram";"Sony PS Vita";"Visual Novel";"2013";"5pb.";"Spike Chunsoft";"Science Adventure";"2 Spinoff 1";"Japan";"Japanese";"Japanese";;"-";"Translation available"
;"Time Hollow";"Nintendo DS";"Adventure";"2008";"Tenky";"Konami";"-";"-";"Europe";"English";;"-";"-";
;"TimeSplitters 2";"Xbox";;;;;;;;;;;;
;"Tokyo Jungle";"Sony PS3";"Survival";"2012";"Crispy's!
Japan Studio";"Sony";"-";"-";"Europe";"English";;"Digital";"-";
;"Turok Evolution";"Xbox";;;;;;;;;;;;
;"Umineko no Naku Koro ni Saku ～猫箱と夢想の交響曲～";"Nintendo Switch";"Visual Novel";"2021";"07th Expansion";"Entergram";"When they cry";"3 & 4 (Remake)";"Japan";"Japanese";"Japanese";;;"Translation available"
"5";"Warcraft II: Beyond the Dark Portal";"Windows";"RTS";"1996";"Blizzard";"Blizzard";"Warcraft";"2 (Expansion)";"Europe";"English";"English";;;
"5";"Warcraft II: Tides of Darkness";"Windows";"RTS";"1996";"Blizzard";"Blizzard";"Warcraft";"2";"Europe";"English";"English";;"Online";
"5";"Warcraft: Orcs & Humans";"MS-DOS";"RTS";"1995";"Blizzard";"Blizzard";"Warcraft";"1";"Europe";"English";"English";"Physical: CD";"LAN";
;"Yager";"Xbox";;;;;;;;;;;;
;"Zero Escape: The Nonary Games";"Windows";"Adventure";"2017";"Spike Chunsoft";"Spike Chunsoft";"Zero Escape";"1 & 2";"Europe";"English";"Japanese";;"-";
;"Zero Escape: Virtue's Last Reward";"Sony PS Vita";"Adventure";"2012";"Chunsoft";"Rising Star Games";"Zero Escape";"2";"Europe";"English";"Japanese";;"-";
;"Zero Escape: Virtue's Last Reward";"Nintendo 3DS";"Adventure";"2012";"Chunsoft";"Rising Star Games";"Zero Escape";"2";"Europe";"English";"Japanese";;"-";
;"Zero Escape: Zero Time Dilemma";"Sony PS Vita";"Adventure";"2016";"Chime";"Aksys Games";"Zero Escape";"3";"Europe";"English";"Japanese";;;
;"Zero Escape: Zero Time Dilemma";"Nintendo 3DS";"Adventure";"2016";"Chime";"Rising Star Games";"Zero Escape";"3";"Europe";"English";"Japanese";;"-";
;"Zero Escape: Zero Time Dilemma";"Windows";"Adventure";"2016";"Spike Chunsoft";"Spike Chunsoft";"Zero Escape";"3";"Europe";"English";"Japanese";;"-";
;"Zero Espace: The Nonary Games";"Sony PS Vita";"Adventure";"2017";"Chunsoft";"Aksys Games";"Zero Escape";"1 & 2";"Europe";"English";"Japanese";;"-";
;"Zettai Zetsumei Toshi 3: 壊れゆく街と彼女の歌";"Sony PSP";"Survival";"2009";"Irem";"Irem
Granzella Inc.";"Zettai Zetsumei Toshi";"3";"Japan";"Japanese";"Japanese";;;"Translation ongoing"
;"World's End Club";"Nintendo Switch";"Visual Novel";"2021";"Too Kyo Games
Grounding";"NIS America";"-";"-";"Europe";"English";"?";"-";"-";"-"
;"Hayarigami: Toshi Densetsu Kaii Jiken";"Playstation 2";"Visual Novel";"2004";"Nippon Ichi";"Nippon Ichi";"Hayarigami";"1";"Japan";"Japanese";"Japanese";"-";"-";"-"
;"Hayarigami 2: Toshidensetsu Kaii Jiken";"Playstation 2";"Visual Novel";"2007";"Nippon Ichi Software";"Nippon Ichi Software";"Visual Novel";"2";"Japan";"Japanese";"Japanese";"-";"-";"-"
;"Hayarigami 3: Toshidensetsu Kaii Jiken";"Sony PSP";"Visual Novel";"2009";"Nippon Ichi Software Inc.";"Nippon Ichi Software Inc.";"Hayarigami";"3";"Japan";"Japanese";"Japanese";"-";"-";"-"
;"Shin Hayarigami";"Sony PS Vita";"Visual Novel";"2014";"Nippon Ichi Software Inc.";"Nippon Ichi Software Inc.";"Hayarigami";"Reboot 1";"Japan";"Japanese";"Japanese";"-";"-";"Translation ongoing"
;"Shin Hayarigami 2";"Sony PS Vita";"Visual Novel";"2016";"Nippon Ichi Software Inc.";"Nippon Ichi Software Inc.";"Hayarigami";"Reboot 2";"Japan";"Japanese";"Japanese";"-";"-";"Translation ongoing"
;"Shin Hayarigami 3";"Nintendo Switch";"Visual Novel";"2021";"Nippon Ichi Software Inc.";"Nippon Ichi Software Inc.";"Hayarigami";"Reboot 3";"Japan";"Japanese";"Japanese";"-";"-";"-"
